This is a record of the ancestors of Jesus the Messiah , a descendant of David and of Abraham : ||| Das Buch der Geschichte Jesu Christi , des Sohnes Davids , des Sohnes Abrahams :
Jacob was the father of Joseph , the husband of Mary . Mary gave birth to Jesus , who is called the Messiah . ||| Jakob wurde der Vater Josephs , des Mannes der Maria , von der Jesus geboren wurde , der Christus genannt wird .
All those listed above include fourteen generations from Abraham to David , fourteen from David to the Babylonian exile , and fourteen from the Babylonian exile to the Messiah . ||| Alle Generationen von Abraham bis David waren also vierzehn Generationen und von David bis zur Wegführung nach Babylon vierzehn Generationen und von der Wegführung nach Babylon bis zum Christus vierzehn Generationen .
This is how Jesus the Messiah was born . His mother , Mary , was engaged to be married to Joseph . But before the marriage took place , while she was still a virgin , she became pregnant through the power of the Holy Spirit . ||| Mit der Geburt Jesu Christi aber verhielt es sich so : Als seine Mutter Maria mit Joseph verlobt war , fand es sich , daß sie vor ihrer Vereinigung durch heiligen Geist schwanger war .
Joseph , her fiancé , was a good man and did not want to disgrace her publicly , so he decided to break the engagement quietly . ||| Doch weil Joseph , ihr Mann , gerecht war und sie nicht öffentlich zur Schau stellen wollte , beabsichtigte er , sich heimlich von ihr scheiden zu lassen .
As he considered this , an angel of the Lord appeared to him in a dream . “ Joseph , son of David , ” the angel said , “ do not be afraid to take Mary as your wife . For the child within her was conceived by the Holy Spirit . ||| Als er aber über diese Dinge nachgedacht hatte , siehe , da erschien ihm Jehovas Engel im Traum und sprach : „ Joseph , Sohn Davids , scheue dich nicht , Maria , deine Frau , heimzuführen , denn was in ihr gezeugt worden ist , ist durch heiligen Geist .
And she will have a son , and you are to name him Jesus , for he will save his people from their sins . ” ||| Sie wird einen Sohn gebären , und du sollst ihm den Namen Jesus geben , denn er wird sein Volk von ihren Sünden erretten . “
All of this occurred to fulfill the Lord’s message through his prophet : ||| Das alles geschah in Wirklichkeit , damit sich erfülle , was Jehova durch seinen Propheten geredet hatte , welcher sagt :
“ Look ! The virgin will conceive a child ! She will give birth to a son , and they will call him Immanuel , which means ‘ God is with us . ’ ” ||| „ Siehe ! Die Jungfrau wird schwanger werden und wird einen Sohn gebären , und sie werden ihm den Namen Immạnuel geben “ , was übersetzt „ Mit uns ist Gott “ bedeutet .
When Joseph woke up , he did as the angel of the Lord commanded and took Mary as his wife . ||| Joseph erwachte dann aus seinem Schlaf und tat , wie ihn der Engel Jehovas angewiesen hatte , und er führte seine Frau heim .
But he did not have sexual relations with her until her son was born . And Joseph named him Jesus . ||| Doch hatte er keinen ehelichen Verkehr mit ihr , bis sie einen Sohn gebar ; und er gab ihm den Namen Jesus .
Jesus was born in Bethlehem in Judea , during the reign of King Herod . About that time some wise men from eastern lands arrived in Jerusalem , asking , ||| Nachdem Jesus in Bẹthlehem in Judạ̈a in den Tagen des Königs Herodes geboren worden war , siehe , da kamen Astrologen aus östlichen Gegenden nach Jerusalem
“ Where is the newborn king of the Jews ? We saw his star as it rose , and we have come to worship him . ” ||| und sprachen : „ Wo ist der als König der Juden Geborene ? Denn [ als wir ] im Osten [ waren , ] sahen wir seinen Stern , und wir sind gekommen , ihm zu huldigen . “
King Herod was deeply disturbed when he heard this , as was everyone in Jerusalem . ||| Als König Herodes das hörte , geriet er und mit ihm ganz Jerusalem in Aufregung ;
He called a meeting of the leading priests and teachers of religious law and asked , “ Where is the Messiah supposed to be born ? ” ||| und er versammelte alle Oberpriester und Schriftgelehrten des Volkes und erkundigte sich bei ihnen , wo der Christus geboren werden sollte .
“ In Bethlehem in Judea , ” they said , “ for this is what the prophet wrote : ||| Sie sagten zu ihm : „ In Bẹthlehem in Judạ̈a ; denn so ist durch den Propheten geschrieben worden :
‘ And you , O Bethlehem in the land of Judah , are not least among the ruling cities of Judah , for a ruler will come from you who will be the shepherd for my people Israel . ’ ” ||| ‚ Und du , o Bẹthlehem vom Land Juda , bist keineswegs die unbedeutendste [ Stadt ] unter den Statthaltern Judas ; denn aus dir wird ein Regent hervorgehen , der mein Volk Israel hüten wird . ‘ “
Then Herod called for a private meeting with the wise men , and he learned from them the time when the star first appeared . ||| Dann berief Herodes heimlich die Astrologen und erkundigte sich bei ihnen genau nach der Zeit der Erscheinung des Sterns ;
Then he told them , “ Go to Bethlehem and search carefully for the child . And when you find him , come back and tell me so that I can go and worship him , too ! ” ||| und er sandte sie nach Bẹthlehem und sprach : „ Geht und stellt genaue Nachforschungen nach dem kleinen Kind an , und wenn ihr es gefunden habt , so meldet es mir , damit auch ich hingehe und ihm huldige . “
After this interview the wise men went their way . And the star they had seen in the east guided them to Bethlehem . It went ahead of them and stopped over the place where the child was . ||| Als sie den König angehört hatten , gingen sie ihres Weges ; und siehe , der Stern , den sie gesehen hatten , [ als sie ] im Osten [ waren ] , ging vor ihnen her , bis er über dem Ort stehenblieb , wo sich das kleine Kind befand .
When they saw the star , they were filled with joy ! ||| Als sie den Stern sahen , freuten sie sich tatsächlich sehr .
They entered the house and saw the child with his mother , Mary , and they bowed down and worshiped him . Then they opened their treasure chests and gave him gifts of gold , frankincense , and myrrh . ||| Und als sie in das Haus kamen , sahen sie das kleine Kind bei Maria , seiner Mutter , und sie fielen nieder und huldigten ihm . Auch öffneten sie ihre Schätze und brachten ihm Gaben dar : Gold und duftendes Harz und Myrrhe .
When it was time to leave , they returned to their own country by another route , for God had warned them in a dream not to return to Herod . ||| Weil sie aber im Traum eine göttliche Warnung erhielten , nicht zu Herodes zurückzukehren , zogen sie auf einem anderen Weg in ihr Land zurück .
After the wise men were gone , an angel of the Lord appeared to Joseph in a dream . “ Get up ! Flee to Egypt with the child and his mother , ” the angel said . “ Stay there until I tell you to return , because Herod is going to search for the child to kill him . ” ||| Als sie weggezogen waren , siehe , da erschien Jehovas Engel dem Joseph im Traum und sprach : „ Steh auf , nimm das kleine Kind und seine Mutter , und flieh nach Ägypten , und halte dich dort auf , bis ich dir Bescheid gebe ; denn Herodes ist im Begriff , nach dem kleinen Kind zu suchen , um es zu vernichten . “
That night Joseph left for Egypt with the child and Mary , his mother , ||| Da stand er auf und nahm das kleine Kind und dessen Mutter bei Nacht und zog weg nach Ägypten ,
and they stayed there until Herod’s death . This fulfilled what the Lord had spoken through the prophet : “ I called my Son out of Egypt . ” ||| und er hielt sich dort bis zum Lebensende des Herodes auf , damit erfüllt würde , was Jehova durch seinen Propheten geredet hatte , welcher sagt : „ Aus Ägypten rief ich meinen Sohn . “
Herod was furious when he realized that the wise men had outwitted him . He sent soldiers to kill all the boys in and around Bethlehem who were two years old and under , based on the wise men’s report of the star’s first appearance . ||| Als Herodes nun sah , daß er von den Astrologen überlistet worden war , geriet er in große Wut , und er sandte hin und ließ in Bẹthlehem und in dessen ganzem Gebiet alle Knaben im Alter von zwei Jahren und darunter umbringen , entsprechend der Zeit , die er von den Astrologen genau ermittelt hatte .
Herod’s brutal action fulfilled what God had spoken through the prophet Jeremiah : ||| Damals erfüllte sich , was durch den Propheten Jeremia geredet worden war , welcher sagt :
“ A cry was heard in Ramah weeping and great mourning . Rachel weeps for her children , refusing to be comforted , for they are dead . ” ||| „ Eine Stimme wurde in Rạma gehört , Weinen und viel Wehklagen ; es war Rahel , die um ihre Kinder weinte , und sie wollte sich nicht trösten lassen , weil sie nicht mehr sind . “
When Herod died , an angel of the Lord appeared in a dream to Joseph in Egypt . ||| Als Herodes gestorben war , siehe , da erschien Jehovas Engel dem Joseph in Ägypten im Traum
“ Get up ! ” the angel said . “ Take the child and his mother back to the land of Israel , because those who were trying to kill the child are dead . ” ||| und sprach : „ Steh auf , nimm das kleine Kind und seine Mutter , und zieh in das Land Israel , denn die , die dem kleinen Kind nach der Seele trachteten , sind tot . “
So Joseph got up and returned to the land of Israel with Jesus and his mother . ||| Da stand er auf und nahm das kleine Kind und dessen Mutter und kam in das Land Israel .
But when he learned that the new ruler of Judea was Herod’s son Archelaus , he was afraid to go there . Then , after being warned in a dream , he left for the region of Galilee . ||| Als er aber hörte , daß Archelạus an Stelle seines Vaters Herodes als König von Judạ̈a regierte , fürchtete er sich , dorthin zu gehen . Da er außerdem im Traum eine göttliche Warnung erhielt , zog er sich in das Gebiet von Galilạ̈a zurück ,
So the family went and lived in a town called Nazareth . This fulfilled what the prophets had said : “ He will be called a Nazarene . ” ||| und [ dort ] angekommen , wohnte er in einer Stadt namens Nạzareth , damit erfüllt würde , was durch die Propheten geredet worden war : „ Er wird Nazarẹner genannt werden . “
In those days John the Baptist came to the Judean wilderness and began preaching . His message was , ||| In jenen Tagen trat Johạnnes der Täufer auf und predigte in der Wildnis von Judạ̈a ,
“ Repent of your sins and turn to God , for the Kingdom of Heaven is near . ” ||| indem er sprach : „ Bereut , denn das Königreich der Himmel hat sich genaht . “
The prophet Isaiah was speaking about John when he said , “ He is a voice shouting in the wilderness , ‘ Prepare the way for the Lord’s coming ! Clear the road for him ! ’ ” ||| Dieser ist es tatsächlich , von dem durch Jesaja , den Propheten , in diesen Worten geredet wurde : „ Horch ! Es ruft jemand in der Wildnis : ‚ Bereitet den Weg Jehovas ! Macht seine Straßen gerade . ‘ “
John’s clothes were woven from coarse camel hair , and he wore a leather belt around his waist . For food he ate locusts and wild honey . ||| Ebendieser Johạnnes aber trug eine Kleidung aus Kamelhaar und einen ledernen Gürtel um seine Lenden ; auch bestand seine Nahrung aus Heuschrecken und wildem Honig .
People from Jerusalem and from all of Judea and all over the Jordan Valley went out to see and hear John . ||| Da zogen Jerusalem und ganz Judạ̈a und die ganze Umgegend des Jordan zu ihm hinaus ,
And when they confessed their sins , he baptized them in the Jordan River . ||| und man ließ sich von ihm im Jordanfluß taufen und bekannte offen seine Sünden .
But when he saw many Pharisees and Sadducees coming to watch him baptize , he denounced them . “ You brood of snakes ! ” he exclaimed . “ Who warned you to flee God’s coming wrath ? ||| Als er viele von den Pharisäern und Sadduzạ̈ern erblickte , die zur Taufe kamen , sagte er zu ihnen : „ Ihr Otternbrut , wer hat euch zu verstehen gegeben , daß [ ihr ] dem kommenden Zorn entfliehen könnt ?
Prove by the way you live that you have repented of your sins and turned to God . ||| So bringt denn Frucht hervor , die der Reue entspricht ;
Don’t just say to each other , ‘ We’re safe , for we are descendants of Abraham . ’ That means nothing , for I tell you , God can create children of Abraham from these very stones . ||| und maßt euch nicht an , euch einzureden : ‚ Wir haben Abraham zum Vater . ‘ Denn ich sage euch , daß Gott dem Abraham aus diesen Steinen Kinder zu erwecken vermag .
Even now the ax of God’s judgment is poised , ready to sever the roots of the trees . Yes , every tree that does not produce good fruit will be chopped down and thrown into the fire . ||| Schon liegt die Axt an der Wurzel der Bäume ; jeder Baum nun , der keine vortreffliche Frucht hervorbringt , wird umgehauen und ins Feuer geworfen werden .
“ I baptize with water those who repent of their sins and turn to God . But someone is coming soon who is greater than I amso much greater that I’m not worthy even to be his slave and carry his sandals . He will baptize you with the Holy Spirit and with fire . ||| Ich für meinen Teil taufe euch mit Wasser , weil ihr bereut ; der aber nach mir kommt , ist stärker als ich , [ und ] ich bin nicht wert , ihm die Sandalen abzunehmen . Dieser wird euch mit heiligem Geist und mit Feuer taufen .
He is ready to separate the chaff from the wheat with his winnowing fork . Then he will clean up the threshing area , gathering the wheat into his barn but burning the chaff with never-ending fire . ” ||| Er hat seine Worfschaufel in seiner Hand , und er wird seine Tenne gründlich säubern und wird seinen Weizen in das Vorratshaus sammeln , die Spreu aber wird er mit unauslöschlichem Feuer verbrennen . “
Then Jesus went from Galilee to the Jordan River to be baptized by John . ||| Dann kam Jesus von Galilạ̈a her zu Johạnnes an den Jordan , um sich von ihm taufen zu lassen .
But John tried to talk him out of it . “ I am the one who needs to be baptized by you , ” he said , “ so why are you coming to me ? ” ||| Dieser aber suchte ihn davon abzuhalten , indem er sprach : „ Ich habe es nötig , von dir getauft zu werden , und du kommst zu mir ? “
But Jesus said , “ It should be done , for we must carry out all that God requires . ” So John agreed to baptize him . ||| Da entgegnete ihm Jesus und sagte : „ Laß es diesmal so sein , denn auf diese Weise ziemt es sich für uns , alles auszuführen , was gerecht ist . “ Da hörte er auf , ihn davon abzuhalten .
After his baptism , as Jesus came up out of the water , the heavens were opened and he saw the Spirit of God descending like a dove and settling on him . ||| Als Jesus getauft war , kam er sogleich aus dem Wasser herauf ; und siehe , die Himmel wurden geöffnet , und er sah Gottes Geist wie eine Taube herabfahren und auf ihn kommen .
And a voice from heaven said , “ This is my dearly loved Son , who brings me great joy . ” ||| Siehe ! Da kam auch eine Stimme aus den Himmeln , welche sprach : „ Dieser ist mein Sohn , der geliebte , an dem ich Wohlgefallen gefunden habe . “
Then Jesus was led by the Spirit into the wilderness to be tempted there by the devil . ||| Dann wurde Jesus vom Geist in die Wildnis hinaufgeführt , um vom Teufel versucht zu werden .
For forty days and forty nights he fasted and became very hungry . ||| Nachdem er vierzig Tage und vierzig Nächte gefastet hatte , hungerte ihn .
During that time the devil came and said to him , “ If you are the Son of God , tell these stones to become loaves of bread . ” ||| Auch kam der VERSUCHER und sagte zu ihm : „ Wenn du ein Sohn Gottes bist , so sage diesen Steinen , daß sie Brote werden . “
But Jesus told him , “ No ! The Scriptures say , ‘ People do not live by bread alone , but by every word that comes from the mouth of God . ’ ” ||| Er aber antwortete und sprach : „ Es steht geschrieben : ‚ Nicht von Brot allein soll der Mensch leben , sondern von jeder Äußerung , die durch den Mund Jehovas ausgeht . ‘ “
Then the devil took him to the holy city , Jerusalem , to the highest point of the Temple , ||| Dann nahm ihn der Teufel mit in die heilige Stadt , und er stellte ihn auf die Zinne des Tempels
and said , “ If you are the Son of God , jump off ! For the Scriptures say , ‘ He will order his angels to protect you . And they will hold you up with their hands so you won’t even hurt your foot on a stone . ’ ” ||| und sagte zu ihm : „ Wenn du ein Sohn Gottes bist , so wirf dich hinab ; denn es steht geschrieben : ‚ Seinen Engeln wird er deinetwegen Befehl geben , und auf ihren Händen werden sie dich tragen , damit du deinen Fuß niemals an einen Stein stößt . ‘ “
Jesus responded , “ The Scriptures also say , ‘ You must not test the L ord your God . ’ ” ||| Jesus sprach zu ihm : „ Wieder steht geschrieben : ‚ Du sollst Jehova , deinen Gott , nicht auf die Probe stellen . ‘ “
Next the devil took him to the peak of a very high mountain and showed him all the kingdoms of the world and their glory . ||| Wieder nahm ihn der Teufel mit auf einen ungewöhnlich hohen Berg und zeigte ihm alle Königreiche der Welt und ihre Herrlichkeit ,
“ I will give it all to you , ” he said , “ if you will kneel down and worship me . ” ||| und er sagte zu ihm : „ Alle diese Dinge will ich dir geben , wenn du niederfällst und mir einen Akt der Anbetung erweist . “
“ Get out of here , Satan , ” Jesus told him . “ For the Scriptures say , ‘ You must worship the L ord your God and serve only him . ’ ” ||| Da sprach Jesus zu ihm : „ Geh weg , Satan ! Denn es steht geschrieben : ‚ Jehova , deinen Gott , sollst du anbeten , und ihm allein sollst du heiligen Dienst darbringen . ‘ “
Then the devil went away , and angels came and took care of Jesus . ||| Da ließ der Teufel von ihm ab , und siehe , Engel kamen und begannen ihm zu dienen .
When Jesus heard that John had been arrested , he left Judea and returned to Galilee . ||| Als er nun hörte , daß Johạnnes festgenommen worden war , zog er sich nach Galilạ̈a zurück .
He went first to Nazareth , then left there and moved to Capernaum , beside the Sea of Galilee , in the region of Zebulun and Naphtali . ||| Und nachdem er Nạzareth verlassen hatte , kam er und nahm Wohnsitz in Kapẹrnaum , das am Meer in dem Gebiet von Sẹbulon und Nạphtali liegt ,
This fulfilled what God said through the prophet Isaiah : ||| damit erfüllt werde , was durch Jesaja , den Propheten , geredet worden war , welcher sagt :
“ In the land of Zebulun and of Naphtali , beside the sea , beyond the Jordan River , in Galilee where so many Gentiles live , ||| „ O Land Sẹbulon und Land Nạphtali an der Straße des Meeres , jenseits des Jordan , Galilạ̈a der Nationen !
the people who sat in darkness have seen a great light . And for those who lived in the land where death casts its shadow , a light has shined . ” ||| Das Volk , das in Finsternis saß , sah ein großes Licht , und denen , die in einer Gegend des Todesschattens saßen : Licht ging ihnen auf . “
From then on Jesus began to preach , “ Repent of your sins and turn to God , for the Kingdom of Heaven is near . ” ||| Von dieser Zeit an fing Jesus an zu predigen und zu sagen : „ Bereut , denn das Königreich der Himmel hat sich genaht . “
One day as Jesus was walking along the shore of the Sea of Galilee , he saw two brothersSimon , also called Peter , and Andrewthrowing a net into the water , for they fished for a living . ||| Als er am Galiläischen Meer entlangwanderte , sah er zwei Brüder , Sịmon , der Petrus genannt wird , und Andreas , seinen Bruder , die ein Fischernetz in das Meer auswarfen , denn sie waren Fischer .
Jesus called out to them , “ Come , follow me , and I will show you how to fish for people ! ” ||| Und er sprach zu ihnen : „ Kommt mir nach , so will ich euch zu Menschenfischern machen . “
And they left their nets at once and followed him . ||| Sogleich verließen sie die Netze und folgten ihm .
A little farther up the shore he saw two other brothers , James and John , sitting in a boat with their father , Zebedee , repairing their nets . And he called them to come , too . ||| Und als er von dort weiterging , sah er zwei andere , [ die ] Brüder [ waren ] , Jakobus , [ den Sohn ] des Zebedạ̈us , und Johạnnes , seinen Bruder , die mit Zebedạ̈us , ihrem Vater , im Boot ihre Netze ausbesserten , und er rief sie .
They immediately followed him , leaving the boat and their father behind . ||| Sogleich verließen sie das Boot und ihren Vater und folgten ihm .
Jesus traveled throughout the region of Galilee , teaching in the synagogues and announcing the Good News about the Kingdom . And he healed every kind of disease and illness . ||| Dann ging er in ganz Galilạ̈a umher , lehrte in ihren Synagogen und predigte die gute Botschaft vom Königreich und heilte jede Art von Leiden und jede Art von Gebrechen unter dem Volk .
News about him spread as far as Syria , and people soon began bringing to him all who were sick . And whatever their sickness or disease , or if they were demon possessed or epileptic or paralyzedhe healed them all . ||| Und der Bericht über ihn drang durch ganz Syrien ; und man brachte ihm alle , denen es schlechtging , die mit verschiedenen Leiden und qualvollen Übeln behaftet waren , von Dämọnen Besessene und Epileptiker und Gelähmte , und er heilte sie .
Large crowds followed him wherever he wentpeople from Galilee , the Ten Towns , Jerusalem , from all over Judea , and from east of the Jordan River . ||| Daher folgten ihm große Volksmengen aus Galilạ̈a und der Dekạpolis und aus Jerusalem und Judạ̈a und von jenseits des Jordan .
One day as he saw the crowds gathering , Jesus went up on the mountainside and sat down . His disciples gathered around him , ||| Als er die Volksmengen sah , stieg er auf den Berg ; und nachdem er sich gesetzt hatte , kamen seine Jünger zu ihm ;
and he began to teach them . ||| und er öffnete seinen Mund und begann sie zu lehren , indem er sprach :
“ God blesses those who are poor and realize their need for him , for the Kingdom of Heaven is theirs . ||| „ Glücklich sind die , die sich ihrer geistigen Bedürfnisse bewußt sind , da das Königreich der Himmel ihnen gehört .
God blesses those who mourn , for they will be comforted . ||| Glücklich sind die Trauernden , da sie getröstet werden .
God blesses those who are humble , for they will inherit the whole earth . ||| Glücklich sind die Mildgesinnten , da sie die Erde erben werden .
God blesses those who hunger and thirst for justice , for they will be satisfied . ||| Glücklich sind die , die nach Gerechtigkeit hungern und dürsten , da sie gesättigt werden .
God blesses those who are merciful , for they will be shown mercy . ||| Glücklich sind die Barmherzigen , da ihnen Barmherzigkeit erwiesen wird .
God blesses those whose hearts are pure , for they will see God . ||| Glücklich sind die , die reinen Herzens sind , da sie Gott sehen werden .
God blesses those who work for peace , for they will be called the children of God . ||| Glücklich sind die Friedsamen , da sie ‚ Söhne Gottes ‘ genannt werden .
God blesses those who are persecuted for doing right , for the Kingdom of Heaven is theirs . ||| Glücklich sind die , die um der Gerechtigkeit willen verfolgt worden sind , da das Königreich der Himmel ihnen gehört .
“ God blesses you when people mock you and persecute you and lie about you and say all sorts of evil things against you because you are my followers . ||| Glücklich seid ihr , wenn man euch schmäht und euch verfolgt und lügnerisch allerlei Böses gegen euch redet um meinetwillen .
Be happy about it ! Be very glad ! For a great reward awaits you in heaven . And remember , the ancient prophets were persecuted in the same way . ||| Freut euch , und springt vor Freude , da euer Lohn groß ist in den Himmeln ; denn ebenso verfolgte man vor euch die Propheten .
“ You are the salt of the earth . But what good is salt if it has lost its flavor ? Can you make it salty again ? It will be thrown out and trampled underfoot as worthless . ||| Ihr seid das Salz der Erde ; wenn aber das Salz seine Kraft verliert , wie wird seine Salzkraft wiederhergestellt werden ? Es taugt zu nichts weiter , als hinausgeworfen und von den Menschen zertreten zu werden .
“ You are the light of the worldlike a city on a hilltop that cannot be hidden . ||| Ihr seid das Licht der Welt . Eine Stadt kann nicht verborgen sein , wenn sie auf einem Berg liegt .
No one lights a lamp and then puts it under a basket . Instead , a lamp is placed on a stand , where it gives light to everyone in the house . ||| Man zündet eine Lampe an und stellt sie nicht unter das Maßgefäß , sondern auf den Leuchter , und sie leuchtet allen , die im Haus sind .
In the same way , let your good deeds shine out for all to see , so that everyone will praise your heavenly Father . ||| Ebenso laßt euer Licht vor den Menschen leuchten , damit sie eure vortrefflichen Werke sehen und euren Vater , der in den Himmeln ist , verherrlichen .
“ Don’t misunderstand why I have come . I did not come to abolish the law of Moses or the writings of the prophets . No , I came to accomplish their purpose . ||| Denkt nicht , ich sei gekommen , um das GESETZ oder die PROPHETEN zu vernichten . Nicht um zu vernichten , bin ich gekommen , sondern um zu erfüllen ;
I tell you the truth , until heaven and earth disappear , not even the smallest detail of God’s law will disappear until its purpose is achieved . ||| denn wahrlich , ich sage euch : Eher würden Himmel und Erde vergehen , als daß auch nur ein kleinster Buchstabe oder ein einziges Teilchen eines Buchstabens vom GESETZ verginge und nicht alles geschähe .
So if you ignore the least commandment and teach others to do the same , you will be called the least in the Kingdom of Heaven . But anyone who obeys God’s laws and teaches them will be called great in the Kingdom of Heaven . ||| Wer immer daher eines dieser geringsten Gebote bricht und die Menschen demgemäß lehrt , der wird hinsichtlich des Königreiches der Himmel ‚ Geringster ‘ genannt werden . Wer immer sie hält und lehrt , dieser wird hinsichtlich des Königreiches der Himmel ‚ groß ‘ genannt werden .
“ But I warn youunless your righteousness is better than the righteousness of the teachers of religious law and the Pharisees , you will never enter the Kingdom of Heaven ! ||| Denn ich sage euch , daß ihr , wenn eure Gerechtigkeit die der Schriftgelehrten und Pharisäer nicht weit übertrifft , keinesfalls in das Königreich der Himmel eingehen werdet .
“ You have heard that our ancestors were told , ‘ You must not murder . If you commit murder , you are subject to judgment . ’ ||| Ihr habt gehört , daß zu denen , die in alten Zeiten lebten , gesagt wurde : ‚ Du sollst nicht morden ; wer immer aber einen Mord begeht , wird dem Gerichtshof Rechenschaft geben müssen . ‘
But I say , if you are even angry with someone , you are subject to judgment ! If you call someone an idiot , you are in danger of being brought before the court . And if you curse someone , you are in danger of the fires of hell . ||| Doch ich sage euch , daß jeder , der seinem Bruder fortgesetzt zürnt , dem Gerichtshof Rechenschaft wird geben müssen ; wer immer aber ein unaussprechliches Wort der Verachtung an seinen Bruder richtet , wird dem höchsten Gerichtshof Rechenschaft geben müssen , während jeder , der sagt : ‚ Du verächtlicher Tor ! ‘ , der feurigen Gehẹnna verfallen sein wird .
“ So if you are presenting a sacrifice at the altar in the Temple and you suddenly remember that someone has something against you , ||| Wenn du nun deine Gabe zum Altar bringst und dich dort erinnerst , daß dein Bruder etwas gegen dich hat ,
leave your sacrifice there at the altar . Go and be reconciled to that person . Then come and offer your sacrifice to God . ||| so laß deine Gabe dort vor dem Altar und geh weg ; schließe zuerst mit deinem Bruder Frieden ; und dann , wenn du zurückgekommen bist , bringe deine Gabe dar .
“ When you are on the way to court with your adversary , settle your differences quickly . Otherwise , your accuser may hand you over to the judge , who will hand you over to an officer , and you will be thrown into prison . ||| Sei bereit , dich mit dem , der dich beim Gericht verklagt , eilends zu verständigen , solange du noch mit ihm dorthin unterwegs bist , damit der Kläger dich nicht etwa dem Richter übergibt und der Richter dem Gerichtsdiener und du ins Gefängnis geworfen wirst .
And if that happens , you surely won’t be free again until you have paid the last penny . ||| Ich sage es dir als Tatsache : Du wirst von dort bestimmt nicht herauskommen , bis du die letzte Münze von sehr geringem Wert zurückgezahlt hast .
“ You have heard the commandment that says , ‘ You must not commit adultery . ’ ||| Ihr habt gehört , daß gesagt wurde : ‚ Du sollst nicht ehebrechen . ‘
But I say , anyone who even looks at a woman with lust has already committed adultery with her in his heart . ||| Ich aber sage euch , daß jeder , der fortwährend eine Frau ansieht , um so in Leidenschaft zu ihr zu entbrennen , in seinem Herzen schon mit ihr Ehebruch begangen hat .
So if your eyeeven your good eye causes you to lust , gouge it out and throw it away . It is better for you to lose one part of your body than for your whole body to be thrown into hell . ||| Wenn nun dein rechtes Auge dich straucheln macht , so reiß es aus und wirf es von dir weg . Denn es ist dir nützlicher , daß dir eines deiner Glieder verlorengehe , als daß dein ganzer Leib in die Gehẹnna gestürzt werde .
